"year","qtr","date","response_id","identifier","interview_date","airport","country_of_residence","country_of_residence_group","au_state_of_origin","gender","first_nz_trip","purpose_of_visit_main","purpose_subtype","arrival_method","arrival_date","no_days_in_nz","no_days_in_nz_unknown","no_selection_itinerary","package_deal","pkg_included_airfare","country_package_started","trip_start_country","incl_stay_other_country","no_nights_other_country","single_or_others","no_people_over_15","no_people_under_15","currency","other_purchase","age_range","visited_ni","visited_si","travel_type","main_transport_type","sustainability_considered","treated_spend","population_weight","psu","vem_pop_weight"
2023,2,"2023-06-30","GEN24_1027309","Q2_2023_2_122","2023-05-10","Wellington","Australia","Australia","Queensland","Female","Yes","Business",NA,"Auckland airport","2023-05-09",1,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"40 - 44","1",NA,"Independent Traveller","Taxi / shuttle service","Sometimes",1347.555833,636.99956943927,"Wellington to all airports",303.85023291675043
2023,2,"2023-06-30","GEN24_1027310","Q2_2023_2_123","2023-05-10","Wellington","Australia","Australia","New South Wales","Male","No","Conference / convention","Related to your job or business","Auckland airport","2023-05-05",5,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"55 - 59",NA,"1","Independent Traveller",NA,"Sometimes",1466.140747,147.4531742810945,"Wellington to all airports",304.89223344250854
2023,2,"2023-06-30","GEN24_1027313","Q2_2023_2_124","2023-05-10","Wellington","Malaysia","Rest of Asia",NA,"Male","No","Holiday / vacation","Just for the holiday","Auckland airport","2023-04-05",35,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"60 - 64","1",NA,"Tour Group","Not sure","Most of the time",3010,65.25107717671526,"Wellington to all airports",450.38203251139424
2023,2,"2023-06-30","GEN24_1027314","Q2_2023_2_125","2023-05-10","Wellington","Australia","Australia","South Australia","Female","No","Visiting friends / relatives","To visit friends","Wellington airport","2023-05-07",3,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"35 - 39","1",NA,"Independent Traveller","Local bus service (within town/city & suburbs)","Most of the time",626,85.44986275557729,"Wellington to all airports",303.85023291675043
2023,2,"2023-06-30","GEN24_1027315","Q2_2023_2_126","2023-05-10","Wellington","Australia","Australia","New South Wales","Female","No","Visiting friends / relatives","To visit friends","Wellington airport","2023-05-05",5,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",2,0,"NZD - New Zealand dollar",NA,"50 - 54","1",NA,"Tour Group","Car or van owned by you / family / friend(s) / company","Always",523.3906857,56.12807110157998,"Wellington to all airports",270.8716945522001
2023,2,"2023-06-30","GEN24_1027317","Q2_2023_2_127","2023-05-10","Wellington","Australia","Australia","Victoria","Female","No","Visiting friends / relatives","To care for a family member or friend","Wellington airport","2023-04-23",17,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",2,0,"NZD - New Zealand dollar",NA,"65 - 69","1",NA,"Independent Traveller","Car or van owned by you / family / friend(s) / company","Sometimes",503,71.08791106851682,"Wellington to all airports",225.0248786884257
2023,2,"2023-06-30","GEN24_1027321","Q2_2023_2_128","2023-05-10","Wellington","Australia","Australia","Victoria","Male","No","Business",NA,"Auckland airport","2023-05-07",3,NA,NA,"Yes","Yes",NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"50 - 54","1",NA,"Package","Taxi / shuttle service","Never",2317.796033,72.84332546529133,"Wellington to all airports",319.4775115711342
2023,2,"2023-06-30","GEN24_1027325","Q2_2023_1_512","2023-05-10","Auckland","United States of America","USA",NA,"Female","Yes","Holiday / vacation","For some other reason (please specify)","Auckland airport","2023-01-27",103,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"30 - 34","1","1","Independent Traveller","Hitch-hiking","Sometimes",12531.53817,303.5506072459297,"Auckland to USA",257.7709854117356
2023,2,"2023-06-30","GEN24_1027328","Q2_2023_1_513","2023-05-10","Auckland","United States of America","USA",NA,"Male","No","Holiday / vacation","Just for the holiday","Queenstown airport","2023-05-06",4,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",2,0,"NZD - New Zealand dollar",NA,"55 - 59","1","1","Independent Traveller",NA,NA,5444.125567,266.5139024519763,"Auckland to Sydney, Melbourne",315.92934301886544
2023,2,"2023-06-30","GEN24_1027331","Q2_2023_1_514","2023-05-10","Auckland","United States of America","USA",NA,"Female","No","Visiting friends / relatives","To visit family","Auckland airport","2023-04-21",19,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit to NZ cost just for yourself",NA,NA,"NZD - New Zealand dollar",NA,"60 - 64","1",NA,"Independent Traveller",NA,"Most of the time",2263.761733,359.87143090068685,"Auckland to USA",239.2490998113206
2023,2,"2023-06-30","GEN24_1027332","Q2_2023_1_515","2023-05-10","Auckland","United States of America","USA",NA,"Female","Yes","Visiting friends / relatives","To visit family","Auckland airport","2023-04-09",31,NA,NA,"No",NA,NA,NA,NA,NA,"What the visit cost for you and another person / people",2,0,"NZD - New Zealand dollar",NA,"60 - 64","1","1","Independent Traveller","Car or van owned by you / family / friend(s) / company","Sometimes",11076.26277,334.39298259568886,"Auckland to USA",239.2490998113206
